from	to
ACKR1	ACKR4
ACKR1	CXCL5
ACKR1	PPBP
ACKR1	CXCL8
ACKR4	CXCL12
ACKR4	CXCL13
ACTN2	CASQ2
ACTN2	LDB3
ACVRL1	TGFBR2
ACVRL1	BMP2
ACVRL1	SMAD9
ACVRL1	CDH5
ADCY8	PDE5A
ADCY8	RAPGEF4
ADGRL2	UNC5CL
ADGRL2	FLRT3
ADGRL3	UNC5CL
ADGRL3	FLRT3
ADH1B	UGT2B4
ADH1B	MGST1
ADH1B	GSTM3
ADH1B	GSTP1
ADH1B	ALDH3A1
ADH1B	AOX1
ADRB1	ADRB2
ADRB1	GRK5
ADRB2	ERBB2
ADRB2	GRIA1
ADRB2	RAPGEF4
ADRB2	EDN1
ADRB2	AGTR1
ADRB2	GRK5
ADRB2	AKAP12
AGER	KRAS
AGER	SFTPC
AGER	S100A12
AGER	SFTPD
AGER	CD36
AGR2	MUC5B
AGTR1	CXCL8
AGTR1	AGTR2
AGTR1	EDN1
AGTR1	GRK5
AGTR2	EDN1
AKAP12	EGFR
AKAP12	CAVIN1
AKAP12	ANGPT1
ALDH3A1	AOC3
ALDH3A1	GAD1
ALDH3A1	GSTM3
ALDH3A1	MGST1
ALDH3A1	GSTP1
ALK	KRAS
ALK	ERBB2
ALK	TGFBR2
ALK	PTEN
ALK	CD274
ALK	MYC
ALK	MDK
ANGPT1	VWF
ANGPT1	FGF2
ANGPT1	EGF
ANGPT1	ERBB2
ANGPT1	EGFR
ANGPT1	FGFR4
ANGPT1	MET
ANGPT1	PTPRB
ANGPT1	TIE1
ANGPT1	TEK
ANGPT1	CXCL12
ANGPT1	CDH5
ANGPTL1	TIE1
ANGPTL1	LILRB2
ANGPTL1	TEK
ANK2	ERBB2
ANK2	SCN4B
ANK2	SPTBN1
ANLN	DLGAP5
ANLN	CCNB1
ANLN	DEPDC1B
ANLN	CDC20
ANLN	TTK
ANLN	NUSAP1
ANLN	TYMS
ANLN	CCNA2
ANLN	EXO1
ANLN	UBE2C
ANLN	BIRC5
ANLN	KIF4A
ANLN	RRM2
ANLN	NEK2
ANLN	CDCA8
ANLN	BUB1B
ANLN	MELK
ANLN	CENPF
ANLN	DEPDC1
ANLN	TOP2A
ANLN	HMMR
ANLN	ASPM
ANLN	TPX2
ANLN	CEP55
ANLN	KIF20A
ANOS1	FGF2
ANOS1	PROK2
ANXA1	CDH1
ANXA1	EGFR
ANXA1	CXCL8
ANXA1	SOX2
ANXA1	ANXA2
ANXA1	PLA2G4A
ANXA1	S100A10
ANXA2	EGFR
ANXA2	KCNK3
ANXA2	CAV1
ANXA2	MYC
ANXA2	S100A10
AOC3	CD69
AOC3	FCGR3B
AOC3	CD19
AOC3	FCGR3A
AOX1	UGT2B4
AOX1	HSD17B6
APC	LRRK2
APC	CDH1
ARC	EGR1
ARC	FOSB
ARC	EGR3
ARC	SH3GL3
ARC	GRIA1
AREG	HBEGF
AREG	KRAS
AREG	EGF
AREG	ERBB2
AREG	EGFR
AREG	FGFR4
AREG	MET
AREG	TEK
ASPM	DLGAP5
ASPM	CCNB1
ASPM	CDCA5
ASPM	BUB1B
ASPM	CCNB2
ASPM	MELK
ASPM	PCLAF
ASPM	TPX2
ASPM	BIRC5
ASPM	TYMS
ASPM	UBE2C
ASPM	RRM2
ASPM	EXO1
ASPM	CENPF
ASPM	NEK2
ASPM	CDC45
ASPM	TK1
ASPM	ZWINT
ASPM	UBE2T
ASPM	DEPDC1
ASPM	HMMR
ASPM	HJURP
ASPM	NUSAP1
ASPM	CCNA2
ASPM	CEP55
ASPM	CDCA8
ASPM	KIF4A
ASPM	TTK
ASPM	CDC20
ASPM	KIF20A
ASPM	TOP2A
ATF3	PPP1R15A
ATF3	GADD45B
ATF3	EGR1
ATF3	FOSB
ATF3	EGR3
ATF3	MYC
ATF3	NR4A2
ATF3	NR4A1
ATF3	IL6
ATP1A2	SCN1A
ATP1A2	FXYD1
BDNF	FGF2
BDNF	EGF
BDNF	ERBB2
BDNF	EGFR
BDNF	FGFR4
BDNF	CXCL8
BDNF	MET
BDNF	TAC1
BDNF	NTRK3
BDNF	MMP9
BDNF	TEK
BDNF	IL6
BDNF	GDNF
BDNF	SNCA
BDNF	GRIA1
BIRC5	DLGAP5
BIRC5	CCNB1
BIRC5	DEPDC1B
BIRC5	ERBB2
BIRC5	CDCA5
BIRC5	BUB1B
BIRC5	CCNB2
BIRC5	MELK
BIRC5	PCLAF
BIRC5	TPX2
BIRC5	UHRF1
BIRC5	UBE2T
BIRC5	CDC25C
BIRC5	DEPDC1
BIRC5	EXO1
BIRC5	MYC
BIRC5	TYMS
BIRC5	CDC45
BIRC5	HMMR
BIRC5	RRM2
BIRC5	HJURP
BIRC5	CEP55
BIRC5	ZWINT
BIRC5	TK1
BIRC5	KIF4A
BIRC5	TTK
BIRC5	NEK2
BIRC5	NUSAP1
BIRC5	CCNA2
BIRC5	CENPF
BIRC5	KIF20A
BIRC5	TOP2A
BIRC5	UBE2C
BIRC5	CDC20
BIRC5	CDCA8
BMP2	TGFBR3
BMP2	COMP
BMP2	IBSP
BMP2	SPARC
BMP2	FGF2
BMP2	CBFB
BMP2	SMAD9
BMP2	SPP1
BMP2	GREM1
BRAF	MLH1
BRAF	KRAS
BRAF	SFN
BRAF	PTEN
BRAF	CD274
BRAF	CDKN2A
BRAF	MYC
BUB1B	DLGAP5
BUB1B	E2F8
BUB1B	CCNB1
BUB1B	DEPDC1B
BUB1B	CDCA5
BUB1B	TYMS
BUB1B	RAD54L
BUB1B	EXO1
BUB1B	CDC25C
BUB1B	CDC45
BUB1B	DEPDC1
BUB1B	PCLAF
BUB1B	HMMR
BUB1B	HJURP
BUB1B	RRM2
BUB1B	TPX2
BUB1B	CEP55
BUB1B	NUSAP1
BUB1B	MELK
BUB1B	KIF4A
BUB1B	KIF20A
BUB1B	TOP2A
BUB1B	TTK
BUB1B	UBE2C
BUB1B	CCNB2
BUB1B	CCNA2
BUB1B	CDCA8
BUB1B	ZWINT
BUB1B	NEK2
BUB1B	CDC20
BUB1B	CENPF
C5AR1	CD93
C5AR1	CFP
C5AR1	CXCL8
C5AR1	CXCR2
C6	C8B
C6	C7
C7	CLU
C7	C8B
C8B	CPB2
C8B	CLU
CA3	CYP24A1
CA3	CA4
CA4	CYP24A1
CALCRL	RAMP3
CALCRL	RAMP2
CASQ2	LDB3
CAV1	CAV2
CAV1	CDH1
CAV1	ERBB2
CAV1	EGFR
CAV1	CAVIN2
CAV1	CDH5
CAV1	IL6
CAV1	CLDN5
CAV1	PTGS2
CAV1	PTEN
CAV1	CD36
CAV1	CAVIN1
CAV2	CAVIN1
CAV2	EGFR
CAVIN1	EGFR
CAVIN1	CAVIN2
CAVIN1	S100A10
CBFB	MMP13
CBFB	TAL1
CBFB	SOCS3
CBFB	SPP1
CBFB	RUNX3
CBFB	CLDN5
CBFB	LIFR
CBFB	NR4A3
CBLC	EGFR
CBLC	FGFR4
CBLC	SH3GL3
CBLC	SH3GL2
CCL18	CXCL13
CCL18	CXCL3
CCL18	CXCL5
CCL18	CXCL8
CCL18	CXCR2
CCL18	CXCL2
CCNA2	DLGAP5
CCNA2	E2F8
CCNA2	CCNB1
CCNA2	CDCA5
CCNA2	CCNB2
CCNA2	MELK
CCNA2	PCLAF
CCNA2	TPX2
CCNA2	TYMS
CCNA2	CDC25C
CCNA2	E2F1
CCNA2	UBE2C
CCNA2	RRM2
CCNA2	EXO1
CCNA2	CENPF
CCNA2	NEK2
CCNA2	TTK
CCNA2	CEP55
CCNA2	CDC20
CCNA2	CDCA8
CCNA2	ZWINT
CCNA2	KIF4A
CCNA2	HMMR
CCNA2	KIF20A
CCNA2	CDC45
CCNA2	TOP2A
CCNA2	DEPDC1
CCNA2	HJURP
CCNA2	TK1
CCNA2	MYC
CCNA2	UHRF1
CCNA2	NUSAP1
CCNB1	GADD45B
CCNB1	DLGAP5
CCNB1	GINS1
CCNB1	CDKN2A
CCNB1	EXO1
CCNB1	PCLAF
CCNB1	CDC45
CCNB1	EGFR
CCNB1	E2F1
CCNB1	TYMS
CCNB1	DEPDC1B
CCNB1	UBE2T
CCNB1	CDCA5
CCNB1	DEPDC1
CCNB1	HJURP
CCNB1	MYC
CCNB1	TK1
CCNB1	RRM2
CCNB1	NEK2
CCNB1	NUSAP1
CCNB1	KIF4A
CCNB1	TTK
CCNB1	CEP55
CCNB1	HMMR
CCNB1	TPX2
